source;target;type;weight
3322;6319;Undirected;2
4053;1225;Undirected;2
3370;6356;Undirected;2
599;585;Undirected;2
2359;2328;Undirected;2
6346;4144;Undirected;2
3830;3611;Undirected;2
2897;2844;Undirected;2
3388;2372;Undirected;4
2194;1186;Undirected;1
3275;3205;Undirected;2
1;4;Undirected;2
1460;1399;Undirected;2
1538;1701;Undirected;2
534;193;Undirected;2
644;1056;Undirected;2
737;636;Undirected;4
2072;2162;Undirected;1
3774;6718;Undirected;4
3670;2650;Undirected;6
3373;3379;Undirected;10
3714;3364;Undirected;4
1538;1508;Undirected;2
6385;6341;Undirected;4
4098;3469;Undirected;2
4053;609;Undirected;2
1801;1847;Undirected;2
3877;3626;Undirected;5
5807;1755;Undirected;2
687;3998;Undirected;2
3361;3322;Undirected;9
3179;2988;Undirected;2
1354;1587;Undirected;4
3645;3641;Undirected;2
2179;2176;Undirected;9
608;1352;Undirected;2
1455;580;Undirected;1
3858;3577;Undirected;8
1685;1701;Undirected;6
2985;2992;Undirected;2
951;944;Undirected;2
1501;1519;Undirected;2
3454;3678;Undirected;4
1706;478;Undirected;2
1943;3533;Undirected;4
1214;1253;Undirected;4
1517;1538;Undirected;2
2948;3953;Undirected;2
3697;3717;Undirected;4
6427;3393;Undirected;2
1881;3576;Undirected;4
502;1227;Undirected;2
1981;4075;Undirected;1
737;746;Undirected;4
4330;3399;Undirected;2
3977;2241;Undirected;2
5476;2709;Undirected;2
2713;2745;Undirected;2
3393;3157;Undirected;2
1412;1335;Undirected;2
3520;3797;Undirected;6
1218;502;Undirected;12
3520;3577;Undirected;2
2397;2256;Undirected;2
609;2241;Undirected;2
3448;3751;Undirected;6
2084;2082;Undirected;2
3811;1948;Undirected;2
630;668;Undirected;2
3272;3275;Undirected;4
517;1054;Undirected;2
3093;3022;Undirected;4
2531;2562;Undirected;5
1512;1550;Undirected;6
7073;3751;Undirected;6
1197;1606;Undirected;4
3728;3705;Undirected;4
2399;2397;Undirected;6
3645;3861;Undirected;9
353;341;Undirected;2
737;3998;Undirected;4
2564;2562;Undirected;6
3375;3383;Undirected;10
3670;3484;Undirected;12
1121;5687;Undirected;3
1796;1804;Undirected;4
3520;3660;Undirected;4
3585;3752;Undirected;4
3462;3536;Undirected;8
1824;3462;Undirected;6
2188;893;Undirected;4
1218;1242;Undirected;4
5;5436;Undirected;2
507;2082;Undirected;5
1665;1130;Undirected;2
3298;3316;Undirected;2
2949;2985;Undirected;4
3558;3469;Undirected;2
6046;2688;Undirected;2
1701;679;Undirected;4
2983;2988;Undirected;2
2064;2194;Undirected;2
4119;2188;Undirected;5
1626;1230;Undirected;1
1367;1626;Undirected;2
1229;1080;Undirected;6
2985;3959;Undirected;2
73;178;Undirected;2
1685;1728;Undirected;2
3355;3339;Undirected;6
1212;1538;Undirected;2
3931;4086;Undirected;2
1824;1848;Undirected;4
813;507;Undirected;12
3977;2997;Undirected;2
881;4059;Undirected;2
3988;2789;Undirected;6
738;421;Undirected;4
5963;3492;Undirected;4
503;1529;Undirected;4
8949;3406;Undirected;1
2939;346;Undirected;4
3495;3536;Undirected;2
2064;340;Undirected;2
7563;2914;Undirected;1
1230;1399;Undirected;1
2965;2948;Undirected;2
3682;3950;Undirected;6
3494;3454;Undirected;2
2618;4215;Undirected;2
1489;304;Undirected;4
3393;6357;Undirected;2
3370;3156;Undirected;2
3840;3747;Undirected;1
3577;87;Undirected;2
2194;3153;Undirected;6
2850;2856;Undirected;4
1382;666;Undirected;4
3670;5740;Undirected;4
4112;3645;Undirected;2
2789;2808;Undirected;2
3885;3131;Undirected;2
6505;4083;Undirected;2
3385;3382;Undirected;6
1850;1856;Undirected;2
1953;3752;Undirected;4
2964;1486;Undirected;2
737;16;Undirected;2
1190;1550;Undirected;10
1525;699;Undirected;2
210;1353;Undirected;6
490;1265;Undirected;2
4030;3374;Undirected;8
2926;4029;Undirected;2
4021;7065;Undirected;2
3797;193;Undirected;13
3375;2370;Undirected;2
1064;345;Undirected;2
8235;2176;Undirected;6
668;645;Undirected;2
1280;1353;Undirected;2
353;478;Undirected;2
1824;1821;Undirected;4
3370;4059;Undirected;4
6093;2923;Undirected;4
1957;1774;Undirected;2
355;1075;Undirected;2
8266;421;Undirected;2
1354;3953;Undirected;2
355;1359;Undirected;2
3035;3316;Undirected;8
9327;1562;Undirected;2
3941;1128;Undirected;4
3024;8076;Undirected;2
2170;287;Undirected;2
253;1063;Undirected;2
478;596;Undirected;2
2874;1779;Undirected;2
1852;580;Undirected;1
8;3995;Undirected;2
1264;3998;Undirected;6
6795;3380;Undirected;4
1218;4029;Undirected;6
3269;3351;Undirected;2
1230;495;Undirected;2
6138;2958;Undirected;2
3423;5965;Undirected;1
1904;1909;Undirected;2
3371;3394;Undirected;12
3462;49;Undirected;6
3364;6392;Undirected;8
715;724;Undirected;2
609;3364;Undirected;4
2911;2910;Undirected;2
344;644;Undirected;2
502;4317;Undirected;2
6431;3399;Undirected;17
2177;270;Undirected;2
6138;2972;Undirected;2
3492;4147;Undirected;2
5890;1987;Undirected;2
3714;1613;Undirected;4
3462;3646;Undirected;7
340;1551;Undirected;2
1367;1562;Undirected;2
4021;3604;Undirected;2
5563;534;Undirected;2
3941;4195;Undirected;4
494;1474;Undirected;2
5417;5411;Undirected;2
3303;3263;Undirected;2
1230;669;Undirected;2
340;410;Undirected;2
1218;1489;Undirected;4
2560;2816;Undirected;2
3997;9;Undirected;2
3930;156;Undirected;6
2337;2276;Undirected;2
1016;907;Undirected;10
2941;1701;Undirected;6
6795;3366;Undirected;2
3930;3390;Undirected;12
3375;4144;Undirected;6
1881;193;Undirected;4
3093;2082;Undirected;4
1270;548;Undirected;2
669;1198;Undirected;2
1804;3817;Undirected;6
3931;3316;Undirected;8
3121;6390;Undirected;2
7179;7181;Undirected;4
468;537;Undirected;2
6510;1054;Undirected;1
580;1550;Undirected;2
508;337;Undirected;2
2307;2279;Undirected;2
1320;1354;Undirected;2
897;4161;Undirected;13
3752;1678;Undirected;4
3137;2072;Undirected;4
1506;1526;Undirected;2
2191;6776;Undirected;4
492;1663;Undirected;2
3533;3469;Undirected;7
6351;3375;Undirected;2
2908;2990;Undirected;2
515;547;Undirected;2
3384;3364;Undirected;8
3325;3361;Undirected;4
3645;3930;Undirected;2
3389;2275;Undirected;2
1212;345;Undirected;2
2990;2191;Undirected;2
1688;517;Undirected;2
4029;2917;Undirected;2
9025;3394;Undirected;2
2752;2709;Undirected;4
3775;3550;Undirected;2
3830;4271;Undirected;2
3714;6958;Undirected;2
2936;2937;Undirected;2
342;1472;Undirected;2
3404;6347;Undirected;4
1638;1246;Undirected;5
8832;548;Undirected;2
507;3998;Undirected;4
2275;3369;Undirected;2
6262;3324;Undirected;2
1636;1435;Undirected;2
4053;1555;Undirected;4
5577;534;Undirected;2
608;1489;Undirected;2
6505;4216;Undirected;2
141;160;Undirected;2
3520;4008;Undirected;4
3533;2745;Undirected;4
3878;193;Undirected;10
3682;1800;Undirected;10
629;1606;Undirected;2
1177;1186;Undirected;7
1525;1222;Undirected;2
3682;3730;Undirected;6
1382;886;Undirected;4
3351;7577;Undirected;4
3645;3462;Undirected;8
4033;3391;Undirected;2
3682;350;Undirected;6
7178;6755;Undirected;4
3670;1953;Undirected;4
1804;3748;Undirected;8
2188;3143;Undirected;4
3375;3406;Undirected;6
3024;3304;Undirected;8
2759;2761;Undirected;2
3550;3817;Undirected;2
3885;3351;Undirected;4
507;351;Undirected;8
3930;3376;Undirected;6
3711;3714;Undirected;2
3953;2983;Undirected;4
2206;2212;Undirected;2
4352;2988;Undirected;2
3387;2276;Undirected;6
2882;2907;Undirected;2
1353;1418;Undirected;4
4078;1587;Undirected;2
5760;3536;Undirected;2
1638;1613;Undirected;4
2642;2665;Undirected;4
1469;346;Undirected;2
737;1229;Undirected;4
3391;3392;Undirected;8
2370;6007;Undirected;4
1489;350;Undirected;2
4053;1509;Undirected;6
2631;2621;Undirected;2
1517;691;Undirected;2
2566;8259;Undirected;1
580;1330;Undirected;6
245;897;Undirected;8
3520;193;Undirected;6
1701;1678;Undirected;8
2009;2024;Undirected;2
4062;3361;Undirected;4
3941;1463;Undirected;1
6781;1682;Undirected;2
2559;2597;Undirected;5
3393;4033;Undirected;14
5489;5531;Undirected;2
6219;3266;Undirected;2
3404;6388;Undirected;2
3093;3494;Undirected;2
348;1460;Undirected;1
3376;6390;Undirected;4
2997;893;Undirected;4
609;1613;Undirected;10
1064;304;Undirected;2
644;3958;Undirected;2
4074;1997;Undirected;6
3999;3361;Undirected;8
1382;350;Undirected;4
1353;287;Undirected;4
478;156;Undirected;2
3734;3536;Undirected;2
3495;3467;Undirected;2
3857;3752;Undirected;4
2305;3390;Undirected;4
210;2985;Undirected;2
1198;1486;Undirected;2
3566;3877;Undirected;4
1489;345;Undirected;2
3751;4356;Undirected;2
8949;2072;Undirected;2
1606;548;Undirected;2
2188;2157;Undirected;2
3358;3361;Undirected;4
87;178;Undirected;4
3533;3630;Undirected;2
3876;3608;Undirected;4
3682;3473;Undirected;14
1054;1053;Undirected;2
1555;1590;Undirected;8
1231;3998;Undirected;4
1606;521;Undirected;4
3751;2279;Undirected;4
3007;3144;Undirected;8
4;5423;Undirected;2
3488;7657;Undirected;2
1839;1854;Undirected;2
1688;421;Undirected;2
1688;338;Undirected;4
341;3998;Undirected;2
2397;2082;Undirected;4
6084;2910;Undirected;2
687;644;Undirected;4
3858;3646;Undirected;2
491;1636;Undirected;2
4331;2074;Undirected;1
1746;1745;Undirected;3
3714;3621;Undirected;2
1638;350;Undirected;2
1517;1222;Undirected;2
3382;3035;Undirected;2
1558;382;Undirected;2
1759;3576;Undirected;4
3093;507;Undirected;10
3931;3183;Undirected;2
1187;5687;Undirected;2
3930;2322;Undirected;4
1230;353;Undirected;2
6346;3406;Undirected;2
4053;1051;Undirected;4
6262;6304;Undirected;2
260;263;Undirected;2
2954;1524;Undirected;2
1881;1871;Undirected;2
3269;2397;Undirected;4
3615;7183;Undirected;2
3645;3494;Undirected;4
3520;3646;Undirected;6
532;523;Undirected;2
3272;3339;Undirected;2
4127;3536;Undirected;2
2948;2967;Undirected;2
3825;3646;Undirected;5
1128;1177;Undirected;2
1322;1353;Undirected;6
599;1251;Undirected;2
3811;3878;Undirected;6
1555;2988;Undirected;2
11;18;Undirected;2
4053;1587;Undirected;2
2821;2850;Undirected;2
16;507;Undirected;2
1354;287;Undirected;2
2710;3576;Undirected;6
3550;3863;Undirected;2
1519;1528;Undirected;2
3864;3546;Undirected;2
520;491;Undirected;4
2241;2219;Undirected;4
3448;73;Undirected;4
344;1205;Undirected;2
2801;2806;Undirected;4
2709;2725;Undirected;2
3370;4110;Undirected;4
347;548;Undirected;2
2650;2665;Undirected;6
2922;2954;Undirected;2
3682;813;Undirected;2
2891;1953;Undirected;1
6384;6355;Undirected;4
3751;3659;Undirected;2
210;1229;Undirected;4
1826;1847;Undirected;2
3322;3339;Undirected;8
3759;3678;Undirected;4
1606;1562;Undirected;2
1222;1505;Undirected;2
4029;2963;Undirected;4
3395;6356;Undirected;2
1020;5652;Undirected;2
3819;3714;Undirected;2
4189;3368;Undirected;2
3426;7247;Undirected;2
465;3998;Undirected;5
2899;193;Undirected;2
507;3462;Undirected;8
4029;4274;Undirected;4
652;5581;Undirected;2
3714;3731;Undirected;2
3361;1969;Undirected;1
6258;6325;Undirected;2
609;3469;Undirected;2
4209;2578;Undirected;2
507;1229;Undirected;4
1458;548;Undirected;3
691;679;Undirected;2
937;918;Undirected;2
1456;346;Undirected;4
146;202;Undirected;4
428;438;Undirected;2
4029;2972;Undirected;4
3747;3731;Undirected;3
3387;6388;Undirected;2
141;187;Undirected;4
2997;2206;Undirected;2
1218;534;Undirected;2
1767;3576;Undirected;9
3885;3199;Undirected;8
3275;3278;Undirected;8
6396;4097;Undirected;2
4075;1978;Undirected;2
490;521;Undirected;2
2709;2734;Undirected;4
1382;492;Undirected;2
2908;3930;Undirected;4
797;881;Undirected;2
2177;2191;Undirected;2
4001;3239;Undirected;6
348;548;Undirected;2
169;5479;Undirected;1
2944;3959;Undirected;2
1382;680;Undirected;2
6431;6347;Undirected;2
1270;1354;Undirected;2
2699;2789;Undirected;2
1218;465;Undirected;2
737;2985;Undirected;4
1051;350;Undirected;4
3269;3268;Undirected;2
345;346;Undirected;5
502;1562;Undirected;4
1044;245;Undirected;6
3830;3753;Undirected;4
2316;2334;Undirected;2
3320;2011;Undirected;2
2948;1587;Undirected;4
210;1128;Undirected;4
3393;6435;Undirected;2
3885;2287;Undirected;2
1462;350;Undirected;2
3371;8845;Undirected;2
1273;287;Undirected;2
3885;2397;Undirected;8
886;967;Undirected;2
2997;3008;Undirected;8
1524;351;Undirected;4
1638;492;Undirected;2
1020;1026;Undirected;2
2710;1871;Undirected;2
3520;3536;Undirected;2
1425;1273;Undirected;2
3370;1382;Undirected;4
3304;3267;Undirected;6
3940;3916;Undirected;4
1606;1273;Undirected;2
1054;1562;Undirected;2
1737;1539;Undirected;2
3370;2244;Undirected;2
1649;1657;Undirected;4
1905;1762;Undirected;2
478;1470;Undirected;2
3121;3364;Undirected;4
3878;1824;Undirected;6
4166;1222;Undirected;2
4129;3714;Undirected;2
1779;1754;Undirected;2
342;1206;Undirected;2
7183;7187;Undirected;3
3759;3747;Undirected;4
3131;3024;Undirected;4
3747;3621;Undirected;4
3196;3382;Undirected;2
2006;2007;Undirected;2
6758;5418;Undirected;1
4029;6089;Undirected;2
3576;1772;Undirected;8
3877;3878;Undirected;4
7453;1701;Undirected;2
2287;2276;Undirected;8
1309;1636;Undirected;2
1739;340;Undirected;10
879;881;Undirected;2
4209;2537;Undirected;7
3877;120;Undirected;2
1957;3484;Undirected;2
6960;3599;Undirected;3
1553;537;Undirected;2
1512;548;Undirected;2
1230;1216;Undirected;4
3682;4009;Undirected;2
352;350;Undirected;4
502;1273;Undirected;2
3375;6400;Undirected;4
1262;1386;Undirected;2
1225;629;Undirected;2
3448;1633;Undirected;4
5502;7252;Undirected;2
1218;1526;Undirected;6
1685;2072;Undirected;2
1520;1550;Undirected;2
2170;2194;Undirected;4
3858;3536;Undirected;2
1525;1657;Undirected;2
1606;699;Undirected;2
1474;3959;Undirected;2
3903;3928;Undirected;4
2179;3093;Undirected;7
4047;4167;Undirected;2
3940;2279;Undirected;4
2939;1638;Undirected;4
3751;1885;Undirected;2
1222;1606;Undirected;2
5716;3690;Undirected;2
6346;3369;Undirected;4
3998;1587;Undirected;4
4029;4352;Undirected;4
3454;3536;Undirected;2
2897;1762;Undirected;5
3076;3073;Undirected;2
797;2241;Undirected;1
3131;3143;Undirected;8
1452;469;Undirected;4
1555;629;Undirected;4
1555;3364;Undirected;2
1218;644;Undirected;8
4019;3670;Undirected;4
6344;3379;Undirected;2
340;478;Undirected;2
465;491;Undirected;2
2975;2988;Undirected;2
421;437;Undirected;2
3585;3793;Undirected;4
3093;3008;Undirected;10
2442;2474;Undirected;2
3077;2279;Undirected;10
3364;3577;Undirected;10
1128;337;Undirected;2
1128;507;Undirected;4
3469;184;Undirected;4
3370;3376;Undirected;10
3942;2347;Undirected;4
1218;1636;Undirected;10
3916;6204;Undirected;2
813;906;Undirected;4
2397;3361;Undirected;4
7373;2621;Undirected;6
3387;6347;Undirected;2
3121;4189;Undirected;2
7001;3484;Undirected;2
3371;4109;Undirected;2
2295;2313;Undirected;4
3645;6800;Undirected;2
3370;156;Undirected;2
3469;3611;Undirected;1
4331;2221;Undirected;2
3131;3134;Undirected;2
2528;2633;Undirected;2
3992;2333;Undirected;2
1321;1335;Undirected;6
1458;337;Undirected;2
3806;3849;Undirected;3
2176;4057;Undirected;2
3682;2895;Undirected;6
2131;2074;Undirected;1
1074;1335;Undirected;6
737;1197;Undirected;2
1688;4317;Undirected;6
346;3973;Undirected;2
507;1353;Undirected;4
1563;1512;Undirected;6
1165;1120;Undirected;13
737;421;Undirected;10
738;746;Undirected;4
6408;3399;Undirected;4
3876;6959;Undirected;4
3949;3577;Undirected;2
2908;2912;Undirected;4
1175;999;Undirected;1
1107;897;Undirected;4
3580;3566;Undirected;3
1625;1629;Undirected;2
340;3953;Undirected;6
3093;3017;Undirected;12
3682;478;Undirected;8
2279;2276;Undirected;20
3320;3349;Undirected;2
1847;1858;Undirected;2
7098;3599;Undirected;1
5810;3797;Undirected;2
3930;2308;Undirected;4
3093;3100;Undirected;12
4030;3369;Undirected;4
2179;5954;Undirected;2
1382;231;Undirected;4
3371;3316;Undirected;4
709;688;Undirected;2
3751;3861;Undirected;10
3830;4087;Undirected;2
3514;3462;Undirected;4
1054;5674;Undirected;2
3116;3120;Undirected;2
1905;146;Undirected;1
2937;4078;Undirected;6
1212;666;Undirected;4
3561;3550;Undirected;2
340;4274;Undirected;2
2372;3379;Undirected;2
490;1270;Undirected;2
6385;3379;Undirected;2
6345;6350;Undirected;6
813;988;Undirected;4
302;1435;Undirected;3
2538;2586;Undirected;2
2939;351;Undirected;2
1075;1064;Undirected;1
494;599;Undirected;2
1218;1563;Undirected;4
2948;2981;Undirected;4
4148;3364;Undirected;2
338;1452;Undirected;2
344;1682;Undirected;2
344;1462;Undirected;2
4355;3876;Undirected;4
5506;6727;Undirected;2
585;1194;Undirected;2
1270;1386;Undirected;2
2188;8961;Undirected;2
3903;6225;Undirected;2
340;3550;Undirected;4
210;3998;Undirected;2
1613;1246;Undirected;4
631;641;Undirected;2
1780;3747;Undirected;2
353;1539;Undirected;2
2709;2688;Undirected;8
507;603;Undirected;2
3395;6347;Undirected;6
7185;3615;Undirected;2
3682;4046;Undirected;6
3304;3240;Undirected;2
4367;2916;Undirected;2
2850;2861;Undirected;2
921;932;Undirected;2
3395;3376;Undirected;14
342;1458;Undirected;4
2948;6969;Undirected;2
1230;1074;Undirected;4
3320;3322;Undirected;17
3339;1960;Undirected;6
3136;3141;Undirected;4
3275;3287;Undirected;8
5507;5539;Undirected;2
6352;3379;Undirected;2
3533;1764;Undirected;2
1665;146;Undirected;8
3930;4059;Undirected;4
3494;3752;Undirected;4
596;3998;Undirected;4
6140;2988;Undirected;2
580;4167;Undirected;1
2957;2985;Undirected;2
3395;2276;Undirected;6
478;495;Undirected;2
3646;1678;Undirected;2
2972;2985;Undirected;2
2875;2893;Undirected;2
1218;1054;Undirected;6
2246;2276;Undirected;4
3448;3806;Undirected;4
580;415;Undirected;4
3385;3304;Undirected;6
3254;3240;Undirected;4
2370;3371;Undirected;4
2948;2958;Undirected;2
3861;3469;Undirected;2
3146;3144;Undirected;10
3079;3012;Undirected;1
3411;3620;Undirected;2
2191;5951;Undirected;2
3199;4082;Undirected;4
1191;4029;Undirected;2
6079;2890;Undirected;6
2241;3714;Undirected;4
1815;3550;Undirected;2
5653;1020;Undirected;1
340;3797;Undirected;16
1626;478;Undirected;8
193;1678;Undirected;4
3697;3722;Undirected;8
2997;3022;Undirected;2
1879;5847;Undirected;2
4380;3389;Undirected;2
881;907;Undirected;2
1059;273;Undirected;2
345;644;Undirected;4
3885;2975;Undirected;2
2985;2910;Undirected;2
1074;5672;Undirected;2
2005;4075;Undirected;2
7091;7238;Undirected;1
1688;302;Undirected;4
4029;3550;Undirected;4
346;4078;Undirected;2
3372;6355;Undirected;2
2912;3399;Undirected;6
3930;2927;Undirected;4
3382;3370;Undirected;11
3371;2372;Undirected;2
580;502;Undirected;4
4029;2922;Undirected;4
3269;3406;Undirected;4
4301;3379;Undirected;2
1212;350;Undirected;2
3400;3369;Undirected;4
355;1194;Undirected;2
6387;3383;Undirected;6
3690;3697;Undirected;8
948;5632;Undirected;2
2851;1760;Undirected;2
5430;5;Undirected;2
3141;3142;Undirected;2
1107;2188;Undirected;6
2939;415;Undirected;2
4029;3953;Undirected;4
2276;6390;Undirected;8
4053;1486;Undirected;2
1767;1871;Undirected;2
3370;4330;Undirected;2
3690;193;Undirected;2
7177;3693;Undirected;4
3864;3486;Undirected;2
3690;3876;Undirected;4
430;432;Undirected;1
302;1701;Undirected;2
4153;3205;Undirected;4
6025;2397;Undirected;2
1626;492;Undirected;6
3729;3645;Undirected;2
340;1587;Undirected;8
7253;5535;Undirected;2
3533;3877;Undirected;4
2851;1636;Undirected;2
2206;2207;Undirected;6
1212;446;Undirected;2
3370;3120;Undirected;2
2933;2934;Undirected;4
302;609;Undirected;8
2241;3205;Undirected;2
3406;6360;Undirected;2
7532;2537;Undirected;2
521;1551;Undirected;2
3885;3406;Undirected;10
3972;2954;Undirected;2
2164;2074;Undirected;1
1212;460;Undirected;2
8428;6140;Undirected;2
