id;label;Latitude;Longitude;status
1;"Goroka";-6.081689;145.391881;healthy
2;"Madang";-5.207083;145.7887;healthy
3;"Mount Hagen";-5.826789;144.295861;healthy
4;"Nadzab";-6.569828;146.726242;healthy
5;"Port Moresby";-9.443383;147.22005;healthy
6;"Wewak";-3.583828;143.669186;healthy
7;"Narssarssuaq";61.160517;-45.425978;healthy
8;"Godthaab";64.190922;-51.678064;healthy
9;"Sondrestrom";67.016969;-50.689325;healthy
10;"Thule";76.531203;-68.703161;healthy
11;"Akureyri";65.659994;-18.072703;healthy
12;"Egilsstadir";65.283333;-14.401389;healthy
15;"Isafjordur";66.058056;-23.135278;healthy
16;"Keflavik";63.985;-22.605556;healthy
18;"Reykjavik";64.13;-21.940556;healthy
21;"Sault Sainte Marie";46.485001;-84.509445;healthy
24;"St. Anthony";51.391944;-56.083056;healthy
27;"Baie Comeau";49.1325;-68.204444;healthy
28;"Bagotville";48.330555;-70.996391;healthy
29;"Baker Lake";64.298889;-96.077778;healthy
30;"Campbell River";49.950832;-125.270833;healthy
31;"Brandon";49.91;-99.951944;healthy
32;"Cambridge Bay";69.108055;-105.138333;healthy
33;"Nanaimo";49.052333;-123.870167;healthy
34;"Castlegar";49.296389;-117.6325;healthy
36;"Charlo";47.990833;-66.330278;healthy
37;"Coppermine";67.816667;-115.143889;healthy
40;"Clyde River";70.486111;-68.516667;healthy
41;"Coral Harbour";64.193333;-83.359444;healthy
45;"Deer Lake";49.210833;-57.391388;healthy
48;"Dawson Creek";55.742333;-120.183;healthy
49;"Edmonton";53.309723;-113.579722;healthy
50;"Eskimo Point";61.094166;-94.070833;healthy
54;"Inuvik";68.304167;-133.482778;healthy
55;"Iqaluit";63.75639;-68.555832;healthy
56;"Fredericton";45.868889;-66.537222;healthy
58;"Flin Flon";54.678055;-101.681667;healthy
60;"Fort Simpson";61.760153;-121.236525;healthy
61;"Kingston";44.225277;-76.596944;healthy
62;"La Grande Riviere";53.625278;-77.704167;healthy
63;"Gaspe";48.775278;-64.478611;healthy
65;"Iles De La Madeleine";47.424721;-61.778056;healthy
67;"Dryden";49.831667;-92.744167;healthy
68;"Holman Island";70.762778;-117.806111;healthy
69;"Gjoa Haven";68.635556;-95.849722;healthy
70;"Hamilton";43.173611;-79.935;healthy
71;"Montreal";45.5175;-73.416944;healthy
72;"Hay River";60.839722;-115.782778;healthy
73;"Halifax";44.880833;-63.50861;healthy
75;"Pond Inlet";72.683334;-77.966667;healthy
77;"Stephenville";48.544167;-58.549999;healthy
78;"Kamloops";50.702222;-120.444444;healthy
79;"Waterloo";43.460833;-80.378611;healthy
80;"Schefferville";54.805278;-66.805278;healthy
85;"Lloydminster";53.309166;-110.0725;healthy
87;"Kelowna";49.956112;-119.377778;healthy
90;"Fort Mcmurray";56.653333;-111.221944;healthy
91;"Moosonee";51.291111;-80.607778;healthy
94;"Natashquan";50.19;-61.789167;healthy
99;"High Level";58.621389;-117.164722;healthy
100;"Ottawa";45.3225;-75.669167;healthy
105;"Pickle Lake";51.446388;-90.214167;healthy
106;"Port Menier";49.836389;-64.288611;healthy
108;"Prince Pupert";54.28611;-130.444722;healthy
109;"Fort Chipewyan";58.767223;-111.117222;healthy
111;"Quebec";46.791111;-71.393333;healthy
112;"Red Deer Industrial";52.182222;-113.894444;healthy
113;"Windsor";42.275556;-82.955556;healthy
115;"Kenora";49.788334;-94.363056;healthy
116;"Lethbridge";49.630278;-112.799722;healthy
117;"Moncton";46.112221;-64.678611;healthy
119;"Comox";49.710833;-124.886667;healthy
120;"Regina";50.431944;-104.665833;healthy
121;"Thunder Bay";48.371944;-89.323889;healthy
122;"Grande Prairie";55.179722;-118.885;healthy
125;"Gander";48.936944;-54.568056;healthy
126;"Sydney";46.161388;-60.047779;healthy
127;"Quesnel";53.026112;-122.510278;healthy
128;"Resolute";74.716944;-94.969444;healthy
132;"Rankin Inlet";62.81139;-92.115833;healthy
133;"Sudbury";46.625;-80.798889;healthy
135;"St. John";45.316111;-65.890278;healthy
136;"Fort Smith";60.020278;-111.961944;healthy
139;"Sachs Harbour";71.993889;-125.2425;healthy
140;"Cape Dorset";64.23;-76.526667;healthy
141;"Thompson";55.801111;-97.864166;healthy
143;"Timmins";48.569721;-81.376667;healthy
144;"Toronto";43.627499;-79.396167;healthy
145;"Tuktoyaktuk";69.433334;-133.026389;healthy
146;"Montreal";45.470556;-73.740833;healthy
147;"Repulse Bay";66.521389;-86.224722;healthy
148;"Hall Beach";68.776111;-81.243611;healthy
149;"Rouyn";48.206111;-78.835556;healthy
152;"Broughton Island";67.545833;-64.031389;healthy
153;"Val D'or";48.053333;-77.782778;healthy
154;"Quujjuaq";58.096111;-68.426944;healthy
155;"Norman Wells";65.281617;-126.798219;healthy
156;"Vancouver";49.193889;-123.184444;healthy
160;"Winnipeg";49.910036;-97.239886;healthy
161;"Wabush";52.921944;-66.864444;healthy
162;"Williams Lake";52.183056;-122.054167;healthy
164;"Cranbrook";49.612222;-115.781944;healthy
166;"Saskatoon";52.170834;-106.699722;healthy
167;"Medicine Hat";50.01889;-110.720833;healthy
168;"Fort Saint John";56.238056;-120.740278;healthy
169;"Sioux Lookout";50.113889;-91.905278;healthy
170;"Pangnirtung";66.145;-65.713611;healthy
172;"Prince George";53.889444;-122.678889;healthy
173;"Terrace";54.468508;-128.576219;healthy
174;"London";43.033056;-81.151111;healthy
175;"Abbotsford";49.025278;-122.360556;healthy
176;"Whitehorse";60.709553;-135.067269;healthy
177;"North Bay";46.363611;-79.422778;healthy
178;"Calgary";51.113888;-114.020278;healthy
179;"Smithers";54.824722;-127.182778;healthy
180;"Fort Nelson";58.836389;-122.596944;healthy
181;"Penticton";49.463056;-119.602222;healthy
182;"Charlottetown";46.290001;-63.121111;healthy
183;"Spence Bay";69.546667;-93.576667;healthy
184;"Victoria";48.646944;-123.425833;healthy
187;"Churchill";58.739167;-94.065;healthy
188;"Goose Bay";53.319168;-60.425833;healthy
189;"St. John's";47.61861;-52.751945;healthy
190;"Kapuskasing";49.413889;-82.4675;healthy
192;"Mont Joli";48.608612;-68.208056;healthy
193;"Toronto";43.677223;-79.630556;healthy
196;"Yellowknife";62.462778;-114.440278;healthy
198;"Sandspit";53.254333;-131.813833;healthy
199;"Sarnia";42.999444;-82.308889;healthy
200;"Port Hardy";50.680556;-127.366667;healthy
202;"Sept-iles";50.223333;-66.265556;healthy
206;"Fort Mcpherson";67.4075;-134.860556;healthy
209;"Bejaja";36.711997;5.069922;healthy
210;"Algier";36.691014;3.215408;healthy
211;"Djanet";24.292767;9.452444;healthy
216;"Tamanrasset";22.811461;5.451075;healthy
220;"Annaba";36.822225;7.809167;healthy
221;"Constantine";36.276028;6.620386;healthy
222;"Tebessa";35.431611;8.120717;healthy
224;"Tilrempt";32.930431;3.311542;healthy
225;"Tiaret";35.341136;1.463147;healthy
230;"Tlemcen";35.016667;-1.45;healthy
231;"Oran";35.623858;-0.621183;healthy
233;"Ghriss";35.207725;0.147142;healthy
234;"Adrar";27.837589;-0.186414;healthy
235;"Biskra";34.793289;5.738231;healthy
236;"El Golea";30.571294;2.859586;healthy
237;"Ghardaia";32.384106;3.794114;healthy
238;"Hassi Messaoud";31.672972;6.140444;healthy
239;"In Salah";27.251022;2.512017;healthy
240;"Touggourt";33.067803;6.088672;healthy
243;"Ouargla";31.917223;5.412778;healthy
244;"Zarzaitine";28.05155;9.642911;healthy
245;"Cotonou";6.357228;2.384353;healthy
246;"Ouagadougou";12.353194;-1.512417;healthy
247;"Bobo-dioulasso";11.160056;-4.330969;healthy
248;"Accra";5.605186;-0.166786;healthy
249;"Tamale";9.557192;-0.863214;healthy
251;"Sunyani";7.361828;-2.328756;healthy
252;"Takoradi";4.896056;-1.774756;healthy
253;"Abidjan";5.261386;-3.926294;healthy
260;"Abuja";9.006792;7.263172;healthy
262;"Benin";6.316981;5.599503;healthy
263;"Calabar";4.976019;8.347197;healthy
264;"Enugu";6.474272;7.561961;healthy
266;"Ibadan";7.362458;3.978333;healthy
267;"Ilorin";8.440211;4.493919;healthy
268;"Jos";9.639828;8.86905;healthy
269;"Kaduna";10.696025;7.320114;healthy
270;"Kano";12.047589;8.524622;healthy
273;"Lagos";6.577369;3.321156;healthy
275;"Port Hartcourt";5.015494;6.949594;healthy
276;"Sokoto";12.916322;5.207189;healthy
277;"Yola";9.257553;12.430422;healthy
280;"Niamey";13.481547;2.183614;healthy
286;"Monastir";35.758056;10.754722;healthy
287;"Tunis";36.851033;10.227217;healthy
290;"Gafsa";34.422022;8.822503;healthy
291;"Gabes";33.876919;10.103333;healthy
293;"Djerba";33.875031;10.775461;healthy
295;"Sfax";34.717953;10.690972;healthy
296;"Tozeur";33.939722;8.110556;healthy
298;"Lome";6.165611;1.254511;healthy
299;"Antwerp";51.189444;4.460278;healthy
302;"Brussels";50.901389;4.484444;healthy
304;"Charleroi";50.459197;4.453817;healthy
309;"Liege";50.637417;5.443222;healthy
310;"Ostend";51.198889;2.862222;healthy
337;"Berlin";52.380001;13.5225;healthy
338;"Dresden";51.132767;13.767161;healthy
339;"Erfurt";50.979811;10.958106;healthy
340;"Frankfurt";50.026421;8.543125;healthy
341;"Munster";52.134642;7.684831;healthy
342;"Hamburg";53.630389;9.988228;healthy
344;"Cologne";50.865917;7.142744;healthy
345;"Duesseldorf";51.289453;6.766775;healthy
346;"Munich";48.353783;11.786086;healthy
347;"Nuernberg";49.4987;11.066897;healthy
